model_name,component,layer,head,attribution_score
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,20,,0.006192709319293499
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,21,,0.0060014259070158005
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,19,,0.00582196144387126
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,17,,0.005521540995687246
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,18,,0.00550764100626111
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,16,,0.005321848206222057
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,15,,0.004939033184200525
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,14,,0.004580723121762276
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,13,,0.004434924107044935
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,12,,0.003964305389672518
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,11,,0.0036419075913727283
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,10,,0.003618346992880106
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,9,,0.003360609756782651
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,8,,0.0033253272995352745
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,7,,0.0032759462483227253
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,6,,0.0030073891393840313
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,20,,0.002906066831201315
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,19,,0.0027767240535467863
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,16,,0.0027692720759660006
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,5,,0.002760893665254116
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,15,,0.0025975939352065325
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,4,,0.002582014538347721
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,21,,0.002443641657009721
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,3,,0.002361223567277193
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,17,,0.0023194935638457537
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,2,,0.002238535089418292
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,13,,0.0021843058057129383
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,18,,0.002181259449571371
Qwen/Qwen2.5-0.5B-Instruct,mlp_out,14,,0.002118256175890565
Qwen/Qwen2.5-0.5B-Instruct,hidden_states,1,,0.002039306564256549
